build_key,runs,acquisition_probability,completion_rate,avg_final_stage,avg_ending_bankroll,consistency,dominant_components
"core.lucky-chip|debt.emergency-marker|economy.interest-ledger",15,0.3%,0%,3.067,29208.333,0,"lucky-chip + emergency-marker + interest-ledger"
"banker.commission-dodge|core.lucky-chip|economy.comp-points|economy.interest-ledger|tie.equalizer",15,0.3%,0%,7.933,497580,0.467,"commission-dodge + lucky-chip + comp-points + interest-ledger"
"core.player-surge|economy.comp-points|player.punto-insurance",15,0.3%,0%,2.8,6591.667,0,"player-surge + comp-points + punto-insurance"
"core.player-surge|economy.interest-ledger|player.punto-insurance",15,0.3%,0%,3,10783.333,0,"player-surge + interest-ledger + punto-insurance"
"banker.commission-dodge|core.player-surge",14,0.28%,0%,2.143,4116.071,0,"commission-dodge + player-surge"
"core.lucky-chip|heat.soft-footsteps",14,0.28%,0%,2.429,3517.857,0,"lucky-chip + soft-footsteps"
"core.lucky-chip|debt.emergency-marker|economy.comp-points|heat.soft-footsteps|tie.equalizer",14,0.28%,0%,8.643,530062.5,0.714,"lucky-chip + emergency-marker + comp-points + soft-footsteps"
"core.lucky-chip|debt.emergency-marker|economy.comp-points|economy.interest-ledger|heat.soft-footsteps",14,0.28%,0%,9.714,811955.357,0.929,"lucky-chip + emergency-marker + comp-points + interest-ledger"
"banker.commission-dodge|core.player-surge|debt.emergency-marker",14,0.28%,0%,3.143,10439.286,0,"commission-dodge + player-surge + emergency-marker"
"banker.commission-dodge|core.lucky-chip",13,0.26%,0%,2.154,4440.385,0,"commission-dodge + lucky-chip"
"core.player-surge|economy.interest-ledger",13,0.26%,0%,2.231,4125,0,"player-surge + interest-ledger"
"core.clean-hands|heat.soft-footsteps|player.punto-insurance",13,0.26%,0%,3,5296.154,0,"clean-hands + soft-footsteps + punto-insurance"
"banker.commission-dodge|core.lucky-chip|economy.comp-points",13,0.26%,0%,3,10246.154,0,"commission-dodge + lucky-chip + comp-points"
"core.clean-hands|player.punto-insurance",13,0.26%,0%,2.077,4413.462,0,"clean-hands + punto-insurance"
"core.player-surge|economy.comp-points",13,0.26%,0%,2.462,3567.308,0,"player-surge + comp-points"
"core.lucky-chip|debt.emergency-marker|economy.comp-points|economy.interest-ledger|tie.equalizer",13,0.26%,0%,7,264990.385,0.231,"lucky-chip + emergency-marker + comp-points + interest-ledger"
"core.lucky-chip|economy.comp-points|economy.interest-ledger|player.player-tempo|tie.equalizer",13,0.26%,0%,7.308,268788.462,0.385,"lucky-chip + comp-points + interest-ledger + player-tempo"
"core.lucky-chip|debt.emergency-marker|debt.last-dollar|economy.comp-points|economy.interest-ledger",13,0.26%,0%,6.923,305884.615,0.308,"lucky-chip + emergency-marker + last-dollar + comp-points"
"core.lucky-chip|debt.emergency-marker|economy.comp-points|economy.interest-ledger|player.punto-insurance",13,0.26%,0%,6.538,241740.385,0.385,"lucky-chip + emergency-marker + comp-points + interest-ledger"
"core.player-surge|debt.emergency-marker|economy.interest-ledger",13,0.26%,0%,3,4509.615,0,"player-surge + emergency-marker + interest-ledger"
"core.clean-hands|economy.interest-ledger|heat.soft-footsteps",12,0.24%,0%,3.167,8479.167,0,"clean-hands + interest-ledger + soft-footsteps"
"banker.commission-dodge|core.lucky-chip|economy.interest-ledger",12,0.24%,0%,2.833,11770.833,0,"commission-dodge + lucky-chip + interest-ledger"
"core.lucky-chip|debt.emergency-marker",12,0.24%,0%,2.25,3989.583,0,"lucky-chip + emergency-marker"
"banker.banker-anchor|banker.commission-dodge|core.lucky-chip|debt.emergency-marker|economy.interest-ledger",12,0.24%,0%,6.5,308745.833,0.417,"banker-anchor + commission-dodge + lucky-chip + emergency-marker"
"banker.banker-anchor|core.lucky-chip|debt.emergency-marker|economy.comp-points|economy.interest-ledger",12,0.24%,0%,6.833,256802.083,0.333,"banker-anchor + lucky-chip + emergency-marker + comp-points"
"core.banker-bias",11,0.22%,0%,1,25204.545,0,"banker-bias"
"core.player-surge|player.reversal-read",11,0.22%,0%,2.091,2927.273,0,"player-surge + reversal-read"
"core.lucky-chip|debt.emergency-marker|economy.comp-points",11,0.22%,0%,3.091,6590.909,0,"lucky-chip + emergency-marker + comp-points"
"core.player-surge|economy.interest-ledger|player.side-step",11,0.22%,0%,3,5715.909,0,"player-surge + interest-ledger + side-step"
"core.lucky-chip|economy.comp-points|heat.soft-footsteps",11,0.22%,0%,2.364,3318.182,0,"lucky-chip + comp-points + soft-footsteps"
"core.lucky-chip|economy.interest-ledger|player.punto-insurance",11,0.22%,0%,2.818,5056.818,0,"lucky-chip + interest-ledger + punto-insurance"
"banker.commission-dodge|core.lucky-chip|economy.comp-points|economy.interest-ledger",11,0.22%,0%,3.727,31477.273,0,"commission-dodge + lucky-chip + comp-points + interest-ledger"
"banker.commission-dodge|core.lucky-chip|debt.emergency-marker|economy.interest-ledger|heat.soft-footsteps",11,0.22%,0%,6.091,285884.091,0.273,"commission-dodge + lucky-chip + emergency-marker + interest-ledger"
"core.player-surge|tie.mirror-bet",10,0.2%,0%,2,8207.5,0,"player-surge + mirror-bet"
"banker.banker-anchor|core.player-surge|player.punto-insurance",10,0.2%,0%,3,4962.5,0,"banker-anchor + player-surge + punto-insurance"
"core.clean-hands|debt.emergency-marker|heat.soft-footsteps|tie.equalizer",10,0.2%,0%,4.8,41439.9,0,"clean-hands + emergency-marker + soft-footsteps + equalizer"
"core.lucky-chip|debt.emergency-marker|economy.comp-points|heat.soft-footsteps|player.punto-insurance",10,0.2%,0%,7.3,328212.5,0.6,"lucky-chip + emergency-marker + comp-points + soft-footsteps"
"banker.banker-anchor|core.banker-bias",9,0.18%,0%,2,7027.778,0,"banker-anchor + banker-bias"
"banker.commission-dodge|core.lucky-chip|heat.soft-footsteps",9,0.18%,0%,3.111,17502.778,0,"commission-dodge + lucky-chip + soft-footsteps"
"core.player-surge|economy.interest-ledger|vision.soft-peek",9,0.18%,0%,2.889,6708.333,0,"player-surge + interest-ledger + soft-peek"
"core.lucky-chip|debt.emergency-marker|debt.last-dollar|economy.interest-ledger|tie.equalizer",9,0.18%,0%,7.333,332305.556,0.333,"lucky-chip + emergency-marker + last-dollar + interest-ledger"
"banker.banker-anchor|banker.commission-dodge|core.lucky-chip|economy.comp-points|economy.interest-ledger",9,0.18%,0%,7.889,382933.333,0.556,"banker-anchor + commission-dodge + lucky-chip + comp-points"
"banker.commission-dodge|core.lucky-chip|debt.emergency-marker|economy.interest-ledger|tie.equalizer",9,0.18%,0%,7.111,269775,0.222,"commission-dodge + lucky-chip + emergency-marker + interest-ledger"
"core.lucky-chip|debt.last-dollar|economy.comp-points|economy.interest-ledger|tie.equalizer",9,0.18%,0%,7.333,349027.778,0.222,"lucky-chip + last-dollar + comp-points + interest-ledger"
"banker.commission-dodge|core.lucky-chip|economy.comp-points|economy.interest-ledger|player.player-tempo",9,0.18%,0%,8.778,572875,0.667,"commission-dodge + lucky-chip + comp-points + interest-ledger"
"core.player-surge|heat.soft-footsteps|player.side-step",9,0.18%,0%,2.889,5236.111,0,"player-surge + soft-footsteps + side-step"
"core.clean-hands|economy.comp-points|heat.soft-footsteps",9,0.18%,0%,3.889,27140.556,0,"clean-hands + comp-points + soft-footsteps"
"banker.banker-anchor|core.clean-hands",8,0.16%,0%,2,2812.5,0,"banker-anchor + clean-hands"
"core.player-surge|debt.emergency-marker|player.side-step",8,0.16%,0%,3,4546.875,0,"player-surge + emergency-marker + side-step"
"core.lucky-chip|debt.emergency-marker|debt.last-dollar|economy.comp-points|tie.equalizer",8,0.16%,0%,7.125,272734.375,0.375,"lucky-chip + emergency-marker + last-dollar + comp-points"
