configuration,policy,runs,completion_rate,completion_ci_low,completion_ci_high,avg_final_stage,avg_hands,avg_ending_bankroll,p05_ending_bankroll,p50_ending_bankroll,p95_ending_bankroll,decision_count,meaningful_choice_rate,avg_reveal_decisions,avg_heat,stage_1_hazard,stage_2_hazard,stage_3_hazard,stage_4_hazard,stage_5_hazard,stage_6_hazard,stage_7_hazard,stage_8_hazard,stage_9_hazard,stage_10_hazard
"baseline","random",1000,0.9%,0.315%,1.485%,3.514,20.818,55542.423,750,6500,193375,20818,5.812%,7.113,1.73,9.3%,30.32%,39.557%,34.555%,34%,38.182%,64.356%,22.857%,44.444%,40%
"baseline","novice",1000,4.8%,3.475%,6.125%,5.76,39.727,257608.675,2250,83250,973750,39727,1.775%,3.267,4.935,10.9%,6.397%,13.789%,11.683%,16.063%,9.178%,35.345%,14.286%,26.36%,70.238%
"baseline","greedy",1000,0.2%,0%,0.477%,3.502,20.127,82925.2,750,5625,364750,20127,8.049%,1.651,2.499,10%,13.111%,67.647%,10.672%,26.106%,29.747%,49.505%,41.667%,64%,77.778%
"baseline","risk_aware",1000,4.8%,3.475%,6.125%,4.78,31.429,195194.587,1750,13000,931225,31429,4.346%,1.238,2.343,11%,14.157%,24.215%,21.071%,22.538%,14.245%,37.793%,13.514%,29.333%,51.429%
"baseline","optimized",1000,4.9%,3.562%,6.238%,5.952,41.526,295361.125,2250,95250,1065650,41526,2.006%,2.693,5.138,10.5%,5.922%,11.995%,10.796%,12.708%,11.702%,34.969%,13.505%,26.82%,72.34%
"all_random","optimized",2000,6%,4.959%,7.041%,6.099,42.899,318441.9,2375,111250,1105125,85798,2.047%,2.955,5.373,10.7%,5.151%,9.976%,12.656%,10.36%,8.162%,32.885%,12.779%,21.646%,70.588%
"fixed_tree","optimized",2000,5.1%,4.136%,6.064%,5.926,41.368,279666.45,2125,95875,1095000,82735,1.728%,2.813,5.154,11.75%,4.929%,11.979%,12.796%,10.714%,10.213%,34.65%,12.264%,26.718%,71.698%
"fixed_shoe","optimized",2000,5%,4.045%,5.955%,6.018,42.067,286306.425,2375,106500,1174250,84133,1.91%,2.802,5.364,9.75%,4.765%,11.576%,12.237%,13.343%,10.097%,34.075%,12.42%,21.622%,73.537%
"fixed_policy","optimized",2000,5.35%,4.364%,6.336%,5.916,41.151,285173.838,2375,100625,1040125,82301,1.872%,2.915,5.124,10.95%,4.492%,11.934%,12.483%,13.12%,9.422%,37.551%,14.381%,26.141%,69.164%
