kind,policy,seed,completed,final_stage,failure,ending_bankroll,highest_bankroll,heat,chips,hands,decisions,meaningful_decisions,reveal_decisions,active_build,owned_modifiers,rewards_picked,modifiers_picked
"representative","random",1145657687388359458,false,2,"stage_2_bankroll_minimum",2700,21500,1,3,11,11,0,11,"core.opening-tell|player.reversal-read","core.opening-tell;player.reversal-read","Chip Runner","player.reversal-read"
"representative","novice",16179982617195473639,false,10,"stage_10_heat",892125,892125,10,33,75,75,0,0,"banker.banco-press|banker.commission-dodge|core.lucky-chip|economy.interest-ledger|player.player-tempo","core.lucky-chip;banker.commission-dodge;economy.interest-ledger;player.player-tempo;banker.banco-press","Chip Runner;Rare Modifier Voucher;Chip Runner;High Table Cut;Capstone Invitation;High Table Cut;Ante Kickback;Capstone Invitation;High Table Cut","banker.commission-dodge;economy.interest-ledger;player.player-tempo;banker.banco-press;tie.equalizer;economy.interest-ledger"
"representative","greedy",3565109935037220113,false,10,"stage_10_heat",600125,1513125,10,16,79,79,44,0,"core.player-surge|heat.soft-footsteps|player.break-pattern|player.player-tempo|player.side-step","core.player-surge;player.side-step;player.player-tempo;heat.soft-footsteps;player.break-pattern","Rare Modifier Voucher;Chip Runner;Table Comp;Ante Kickback;Capstone Invitation;Ante Kickback;Table Comp;Capstone Invitation;Table Comp","player.side-step;player.side-step;player.player-tempo;heat.soft-footsteps;banker.commission-dodge;player.punto-insurance;player.punto-insurance;heat.soft-footsteps;player.player-tempo"
"representative","risk_aware",14021648824970372475,false,7,"stage_7_opponent_loss",546000,546000,2,2,51,51,2,25,"core.clean-hands|player.player-tempo|player.punto-insurance|tie.mirror-bet|vision.soft-peek","core.clean-hands;tie.mirror-bet;player.punto-insurance;player.player-tempo;vision.soft-peek","Cool Down;Rare Modifier Voucher;Cool Down;Table Comp;Casino Inside Contact;Ante Kickback","tie.mirror-bet;player.punto-insurance;player.player-tempo;vision.soft-peek;tie.equalizer;heat.low-profile"
"representative","optimized",6875500689133562470,false,4,"stage_4_opponent_loss",162250,162250,3,2,26,26,1,7,"core.lucky-chip|debt.emergency-marker|economy.interest-ledger|tie.tie-whisperer|vision.pattern-memory","core.lucky-chip;tie.tie-whisperer;debt.emergency-marker;economy.interest-ledger;vision.pattern-memory","High Table Cut;Rare Modifier Voucher;Table Comp","tie.tie-whisperer;debt.emergency-marker;economy.interest-ledger;tie.tie-whisperer;vision.pattern-memory"
"anomaly_high_bankroll","optimized",2182477019275242731,true,10,"run_complete",2192825,2192825,4,17,83,83,28,0,"banker.banco-press|banker.commission-dodge|core.lucky-chip|economy.interest-ledger|heat.soft-footsteps","core.lucky-chip;banker.commission-dodge;economy.interest-ledger;banker.banco-press;heat.soft-footsteps","Chip Runner;Chip Runner;High Table Cut;Table Comp;Pit Boss Nod;Ante Kickback;High Table Cut;Casino Inside Contact;Table Comp","banker.commission-dodge;banker.commission-dodge;banker.commission-dodge;economy.interest-ledger;banker.banco-press;heat.soft-footsteps;economy.comp-points;tie.equalizer;economy.interest-ledger;tie.equalizer;economy.comp-points;tie.equalizer;economy.comp-points"
"anomaly_early_failure","optimized",7565164398174258285,false,1,"stage_1_opponent_loss",15000,22500,0,4,5,5,0,0,"core.lucky-chip","core.lucky-chip","",""
"anomaly_heat_failure","optimized",12369800293157618446,false,10,"stage_10_heat",961875,961875,10,16,72,72,0,0,"core.lucky-chip|debt.emergency-marker|economy.comp-points|economy.interest-ledger|heat.soft-footsteps","core.lucky-chip;economy.interest-ledger;debt.emergency-marker;heat.soft-footsteps;economy.comp-points","Rare Modifier Voucher;Rare Modifier Voucher;Ante Kickback;Table Comp;Capstone Invitation;Table Comp;High Table Cut;Vault Key;High Table Cut","economy.interest-ledger;debt.emergency-marker;economy.interest-ledger;heat.soft-footsteps;debt.emergency-marker;debt.emergency-marker;economy.comp-points;debt.last-dollar;economy.interest-ledger;heat.soft-footsteps;debt.last-dollar"
