kind,policy,seed,completed,final_stage,failure,ending_bankroll,highest_bankroll,heat,chips,hands,decisions,meaningful_decisions,reveal_decisions,active_build,owned_modifiers,rewards_picked,modifiers_picked
"representative","random",1145657687388359458,false,4,"stage_4_heat",56250,67250,10,1,26,26,0,15,"bet.high-roller|bet.small-ball|tie.jackpot-discipline|tie.tie-whisperer","bet.high-roller;tie.tie-whisperer;bet.small-ball;tie.jackpot-discipline","Table Comp;Cool Down;High Table Cut","tie.tie-whisperer;bet.small-ball;tie.jackpot-discipline"
"representative","novice",16179982617195473639,false,5,"stage_5_opponent_loss",86750,146750,2,8,34,34,0,29,"bet.small-ball|core.opening-tell|debt.last-dollar|economy.coupon-book|economy.interest-ledger","economy.interest-ledger;core.opening-tell;bet.small-ball;debt.last-dollar;economy.coupon-book","Rare Modifier Voucher;High Table Cut;Modifier Voucher;Modifier Voucher","bet.small-ball;debt.last-dollar;control.discard-favor"
"representative","greedy",3565109935037220113,false,5,"stage_5_heat",697875,802125,10,4,31,31,14,0,"bet.high-roller|bet.small-ball|core.clean-hands|natural.natural-bonus|player.player-tempo","bet.high-roller;bet.small-ball;core.clean-hands;natural.natural-bonus;player.player-tempo","Modifier Voucher;Cool Down;Modifier Voucher;Cool Down","core.clean-hands;player.player-tempo;bet.small-ball"
"representative","risk_aware",14021648824970372475,false,4,"stage_4_opponent_loss",60750,60750,0,0,26,26,0,15,"core.clean-hands|core.opening-tell|final.closer","core.clean-hands;core.opening-tell;final.closer","Cool Down;Rare Modifier Voucher;Cool Down","core.clean-hands;core.clean-hands;final.closer"
"representative","optimized",6875500689133562470,false,10,"stage_10_heat",8309750,8363750,10,21,72,72,55,72,"core.opening-tell|counter.false-read|player.side-step|tie.tie-whisperer|vision.soft-peek","core.opening-tell;counter.false-read;player.side-step;tie.tie-whisperer;vision.soft-peek","Ante Kickback;Rare Modifier Voucher;Chip Runner;Rare Modifier Voucher;Echo Chamber;Modifier Voucher;Attachment Case;Echo Chamber;Table Comp","counter.false-read;player.side-step;tie.tie-whisperer;vision.soft-peek;natural.natural-read;tie.tie-whisperer;player.side-step;tie.equalizer"
"anomaly_high_bankroll","optimized",2182477019275242731,true,10,"run_complete",103975000,103975000,1,22,83,83,62,83,"core.clean-hands|core.opening-tell|heat.floor-distraction|vision.dealer-glance|vision.pattern-memory","core.opening-tell;vision.dealer-glance;core.clean-hands;heat.floor-distraction;vision.pattern-memory","High Card Drop;Rare Modifier Voucher;Table Comp;Rare Modifier Voucher;Player Consortium;Cool Down;Table Comp;Player Consortium;High Table Cut","vision.dealer-glance;core.clean-hands;core.clean-hands;heat.floor-distraction;vision.dealer-glance;vision.pattern-memory;core.opening-tell;counter.false-read;counter.false-read;counter.false-read"
"anomaly_early_failure","optimized",7565164398174258285,false,1,"stage_1_opponent_loss",10000,17500,0,3,5,5,0,5,"core.opening-tell","core.opening-tell","",""
"anomaly_heat_failure","optimized",10706458417670280869,false,10,"stage_10_heat",11861875,11861875,10,12,72,72,63,72,"banker.dealers-nod|core.opening-tell|core.opening-tell|economy.interest-ledger|vision.dealer-glance","core.opening-tell;vision.dealer-glance;core.opening-tell;banker.dealers-nod;economy.interest-ledger","Rare Modifier Voucher;Cool Down;Rare Modifier Voucher;Ante Kickback;Player Consortium;Attachment Case;Table Comp;Banker Consortium;High Table Cut","core.opening-tell;vision.dealer-glance;banker.dealers-nod;vision.dealer-glance;economy.interest-ledger;pair.pair-hunter;banker.dealers-nod;core.opening-tell;vision.soft-peek"
