configuration,policy,runs,completion_rate,completion_ci_low,completion_ci_high,avg_final_stage,avg_hands,avg_ending_bankroll,p05_ending_bankroll,p50_ending_bankroll,p95_ending_bankroll,decision_count,meaningful_choice_rate,avg_reveal_decisions,avg_heat,stage_1_hazard,stage_2_hazard,stage_3_hazard,stage_4_hazard,stage_5_hazard,stage_6_hazard,stage_7_hazard,stage_8_hazard,stage_9_hazard,stage_10_hazard
"baseline","random",100000,0.132%,0.109%,0.155%,2.919,16.352,53420.736,500,8750,169500,1635215,8.221%,4.707,2.144,8.618%,40.039%,52.772%,56.316%,56.041%,50.859%,62.245%,46.554%,34.11%,57.556%
"baseline","novice",100000,1.492%,1.417%,1.567%,4.4,28.908,253065.521,2000,36250,1032375,2890754,8.11%,6.746,2.373,9.559%,3.716%,27.668%,34.307%,43.209%,34.398%,42.649%,29.837%,26.512%,66.734%
"baseline","greedy",100000,0%,0%,0%,2.852,15.317,54250.475,750,18625,257125,1531689,11.11%,2.605,5.866,9.898%,21.338%,72.807%,70.091%,96.149%,85.185%,81.818%,50%,0%,100%
"baseline","risk_aware",100000,1.603%,1.525%,1.681%,3.471,20.777,167511.546,1750,14875,180750,2077736,6.113%,4.118,0.61,11.935%,20.026%,37.774%,49.303%,55.572%,44.263%,45.74%,23.175%,14.643%,17.668%
"baseline","optimized",100000,12.162%,11.959%,12.365%,5.002,33.943,3686791.119,2000,27000,17842125,3394277,55.502%,33.943,3.07,10.934%,16.719%,37.118%,12.098%,14.305%,6.218%,8.089%,10.714%,11.237%,49.304%
"all_random","optimized",6000,12.2%,11.372%,13.028%,4.97,33.742,3674577.537,2000,27000,17960750,202451,55.219%,33.742,3.055,11.567%,16.283%,37.573%,13.091%,13.527%,5.953%,8.014%,10.599%,10.863%,49.025%
"fixed_tree","optimized",6000,12.467%,11.631%,13.303%,4.899,33.215,3625016.07,2000,26750,18198625,199289,55.13%,33.215,2.882,11.95%,17.244%,37.214%,13.406%,15.355%,5.967%,7.407%,9.943%,11.992%,46.071%
"fixed_shoe","optimized",6000,11.85%,11.032%,12.668%,4.976,33.73,3564615.508,1750,27000,17427775,202377,55.078%,33.73,3.059,11.083%,16.495%,37.037%,12.87%,15.139%,5.882%,8.504%,10.582%,11.647%,49.574%
"fixed_policy","optimized",6000,12.5%,11.663%,13.337%,5,34.059,3781588.298,2000,27000,18593125,204353,56.128%,34.059,3.091,11.7%,16.818%,36.215%,12.487%,13.902%,5.718%,8.321%,10.88%,10.982%,48.312%
