modifier_id,name,scale_percent,sample_size,completion_rate,avg_final_stage,avg_ending_bankroll,recommended_range_note
"counter.mirror-punish","Mirror Punish",100,1500,11.867%,4.967,3782861.749,"current value"
"counter.mirror-punish","Mirror Punish",125,1500,12.733%,5.07,3904273.133,"upward comparison"
"counter.mirror-punish","Mirror Punish",150,1500,11.533%,4.945,3463318.17,"upward comparison"
"counter.turnaround-table","Turnaround Table",50,1500,13.6%,5.131,3772026.969,"downward comparison"
"counter.turnaround-table","Turnaround Table",75,1500,12.133%,5.005,3623119.092,"downward comparison"
"counter.turnaround-table","Turnaround Table",100,1500,12%,4.97,3766539.541,"current value"
"counter.turnaround-table","Turnaround Table",125,1500,12.4%,4.949,3546185.271,"upward comparison"
"counter.turnaround-table","Turnaround Table",150,1500,12.267%,5.003,3827182.787,"upward comparison"
"banker.loyal-customer","Loyal Customer",50,1500,14%,4.997,3834551.205,"downward comparison"
"banker.loyal-customer","Loyal Customer",75,1500,12.533%,4.961,3677519.467,"downward comparison"
"banker.loyal-customer","Loyal Customer",100,1500,11.467%,4.901,3511692.385,"current value"
"banker.loyal-customer","Loyal Customer",125,1500,12.6%,5.069,3694756.27,"upward comparison"
"banker.loyal-customer","Loyal Customer",150,1500,12.8%,5.044,4047418.586,"upward comparison"
"player.punto-strike","Punto Strike",50,1500,11.667%,4.928,3417978.655,"downward comparison"
"player.punto-strike","Punto Strike",75,1500,12.533%,4.963,3508378.589,"downward comparison"
"player.punto-strike","Punto Strike",100,1500,11.8%,4.917,3533065.763,"current value"
"player.punto-strike","Punto Strike",125,1500,10.6%,4.963,3556218.573,"upward comparison"
"player.punto-strike","Punto Strike",150,1500,11.667%,5.023,3538572.125,"upward comparison"
"natural.natural-comp","Natural Comp",50,1500,11.2%,5.083,3731777.248,"downward comparison"
"natural.natural-comp","Natural Comp",75,1500,12.8%,5.044,3853866.317,"downward comparison"
"natural.natural-comp","Natural Comp",100,1500,11.467%,5.144,3849821.647,"current value"
"natural.natural-comp","Natural Comp",125,1500,12.133%,4.956,3735150.736,"upward comparison"
"natural.natural-comp","Natural Comp",150,1500,11%,4.81,3351466.306,"upward comparison"
"player.countertrend","Countertrend",50,1500,13.8%,5.117,3887566.714,"downward comparison"
"player.countertrend","Countertrend",75,1500,13.333%,5.109,3909794.091,"downward comparison"
"player.countertrend","Countertrend",100,1500,13.2%,5.103,3979900.594,"current value"
"player.countertrend","Countertrend",125,1500,14.067%,5.137,3901257.347,"upward comparison"
"player.countertrend","Countertrend",150,1500,11.467%,4.956,3661397.639,"upward comparison"
