build_key,runs,acquisition_probability,completion_rate,avg_final_stage,avg_ending_bankroll,consistency,dominant_components
"core.clean-hands|core.lucky-chip|core.opening-tell|tie.equalizer|vision.dealer-glance",4,0.001%,100%,10,13322843.75,1,"clean-hands + lucky-chip + opening-tell + equalizer"
"core.clean-hands|core.opening-tell|tie.equalizer|tie.tie-whisperer|vision.pattern-memory",4,0.001%,100%,10,19532062.5,1,"clean-hands + opening-tell + equalizer + tie-whisperer"
"core.opening-tell|counter.false-read|heat.soft-footsteps|vision.dealer-glance|vision.deep-read",4,0.001%,100%,10,11996500,1,"opening-tell + false-read + soft-footsteps + dealer-glance"
"banker.dealers-nod|core.clean-hands|core.opening-tell|heat.soft-footsteps|vision.dealer-glance",4,0.001%,100%,10,16125281.25,1,"dealers-nod + clean-hands + opening-tell + soft-footsteps"
"core.clean-hands|core.opening-tell|vision.banker-forecast|vision.pattern-memory|vision.soft-peek",4,0.001%,100%,10,16604250,1,"clean-hands + opening-tell + banker-forecast + pattern-memory"
"core.opening-tell|core.opening-tell|heat.soft-footsteps|vision.banker-forecast|vision.dealer-glance",4,0.001%,100%,10,15616593.75,1,"opening-tell + opening-tell + soft-footsteps + banker-forecast"
"core.clean-hands|core.opening-tell|core.opening-tell|economy.interest-ledger|vision.dealer-glance",4,0.001%,100%,10,14810906.25,1,"clean-hands + opening-tell + opening-tell + interest-ledger"
"core.clean-hands|core.opening-tell|heat.soft-footsteps|vision.dealer-glance|vision.deep-read",4,0.001%,100%,10,17001437.5,1,"clean-hands + opening-tell + soft-footsteps + dealer-glance"
"banker.dealers-nod|core.opening-tell|counter.false-read|heat.soft-footsteps|player.punto-strike",4,0.001%,100%,10,13662875,1,"dealers-nod + opening-tell + false-read + soft-footsteps"
"core.clean-hands|core.opening-tell|core.player-surge|tie.equalizer|tie.tie-whisperer",4,0.001%,100%,10,13805812.5,1,"clean-hands + opening-tell + player-surge + equalizer"
